text,label
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=login",0
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=login",0
"GET /search?q=admin HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"GET /search?q=UNION%20SELECT%20%2A%20FROM%20users HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=<scRIPT>alErt('xss')</ScriPT>",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""dashboard""}",0
"GET /search?q=contact HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=UNION/**/SELECT/**/*/**/FROM/**/users",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""&& whoami""}",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""| CAt /eTC/PaSsWD""}",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""SELECT/**/password/**/FROM/**/admins""}",1
"GET /search?q=/etc/passwd HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=exec%28chr%28112%29%29",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""&& WhOAMi""}",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=&&/**/whoami",1
"GET /search?q=javascript%3Aalert%281%29 HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=|/**/cat/**//etc/passwd HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=contact HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""SELECT%20password%20FROM%20admins""}",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""admin""}",0
"GET /search?q=exec%28chr%28112%29%29 HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=/etc/passwd",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""iphone""}",0
"GET /search?q=<script>alert('XSS')</script> HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=user_id HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"GET /search?q=javascript:alert(1) HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=/etc/passwd HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=contact HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"GET /search?q=SELECT/**/password/**/FROM/**/admins HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /search?q=dashboard HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=%253Cscript%253Ealert%2528%2527XSS%2527%2529%253C/script%253E",1
"GET /search?q=<scriPt>aLeRt('XSS')</ScripT> HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=exEc(chR(112))",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=contact",0
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=| cat /etc/passwd",1
"GET /search?q=admin HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""SELECT%2520password%2520FROM%2520admins""}",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""| Cat /etc/pASswD""}",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=%2526%2526%2520whoami",1
"GET /search?q=EXec(ChR(112)) HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",1
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=%2526%2526%2520whoami",1
"GET /search?q=admin HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""dashboard""}",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""contact""}",0
"GET /search?q=admin HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""dashboard""}",0
"GET /dashboard HTTP/1.1
Host: example.com
Cookie: session_id=%253Cscript%253Ealert%2528%2527XSS%2527%2529%253C/script%253E",1
"GET /search?q=12345 HTTP/1.1
Host: example.com
User-Agent: Mozilla/5.0",0
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""/etc/passwd""}",1
"POST /api/login HTTP/1.1
Content-Type: application/json

{""user"": ""admin"", ""pass"": ""iphone""}",0
